ticker,exchange,sector,market_cap
A,US,Health Care,0
AAPL,US,Information Technology,0
ABBV,US,Health Care,0
ABNB,US,Consumer Discretionary,0
ABT,US,Health Care,0
ACGL,US,Financials,0
ACN,US,Information Technology,0
ADBE,US,Information Technology,0
ADI,US,Information Technology,0
ADM,US,Consumer Staples,0
ADP,US,Industrials,0
ADSK,US,Information Technology,0
AEE,US,Utilities,0
AEP,US,Utilities,0
AES,US,Utilities,0
AFL,US,Financials,0
AIG,US,Financials,0
AIZ,US,Financials,0
AJG,US,Financials,0
AKAM,US,Information Technology,0
ALB,US,Materials,0
ALGN,US,Health Care,0
ALL,US,Financials,0
ALLE,US,Industrials,0
AMAT,US,Information Technology,0
AMCR,US,Materials,0
AMD,US,Information Technology,0
AME,US,Industrials,0
AMGN,US,Health Care,0
AMP,US,Financials,0
AMT,US,Real Estate,0
AMZN,US,Consumer Discretionary,0
ANET,US,Information Technology,0
AON,US,Financials,0
AOS,US,Industrials,0
APA,US,Energy,0
APD,US,Materials,0
APH,US,Information Technology,0
APO,US,Financials,0
APTV,US,Consumer Discretionary,0
ARE,US,Real Estate,0
ATO,US,Utilities,0
AVB,US,Real Estate,0
AVGO,US,Information Technology,0
AVY,US,Materials,0
AWK,US,Utilities,0
AXON,US,Industrials,0
AXP,US,Financials,0
AZO,US,Consumer Discretionary,0
BA,US,Industrials,0
BAC,US,Financials,0
BALL,US,Materials,0
BAX,US,Health Care,0
BBY,US,Consumer Discretionary,0
BDX,US,Health Care,0
BEN,US,Financials,0
BF.B,US,Consumer Staples,0
BG,US,Consumer Staples,0
BIIB,US,Health Care,0
BK,US,Financials,0
BKNG,US,Consumer Discretionary,0
BKR,US,Energy,0
BLDR,US,Industrials,0
BLK,US,Financials,0
BMY,US,Health Care,0
BR,US,Industrials,0
BRK.B,US,Financials,0
BRO,US,Financials,0
BSX,US,Health Care,0
BX,US,Financials,0
BXP,US,Real Estate,0
C,US,Financials,0
CAG,US,Consumer Staples,0
CAH,US,Health Care,0
CARR,US,Industrials,0
CAT,US,Industrials,0
CB,US,Financials,0
CBOE,US,Financials,0
CBRE,US,Real Estate,0
CCI,US,Real Estate,0
CCL,US,Consumer Discretionary,0
CDNS,US,Information Technology,0
CDW,US,Information Technology,0
CEG,US,Utilities,0
CF,US,Materials,0
CFG,US,Financials,0
CHD,US,Consumer Staples,0
CHRW,US,Industrials,0
CHTR,US,Communication Services,0
CI,US,Health Care,0
CINF,US,Financials,0
CL,US,Consumer Staples,0
CLX,US,Consumer Staples,0
CMCSA,US,Communication Services,0
CME,US,Financials,0
CMG,US,Consumer Discretionary,0
CMI,US,Industrials,0
CMS,US,Utilities,0
CNC,US,Health Care,0
CNP,US,Utilities,0
COF,US,Financials,0
COIN,US,Financials,0
COO,US,Health Care,0
COP,US,Energy,0
COR,US,Health Care,0
COST,US,Consumer Staples,0
CPAY,US,Financials,0
CPB,US,Consumer Staples,0
CPRT,US,Industrials,0
CPT,US,Real Estate,0
CRL,US,Health Care,0
CRM,US,Information Technology,0
CRWD,US,Information Technology,0
CSCO,US,Information Technology,0
CSGP,US,Real Estate,0
CSX,US,Industrials,0
CTAS,US,Industrials,0
CTRA,US,Energy,0
CTSH,US,Information Technology,0
CTVA,US,Materials,0
CVS,US,Health Care,0
CVX,US,Energy,0
CZR,US,Consumer Discretionary,0
D,US,Utilities,0
DAL,US,Industrials,0
DASH,US,Consumer Discretionary,0
DAY,US,Industrials,0
DD,US,Materials,0
DDOG,US,Information Technology,0
DE,US,Industrials,0
DECK,US,Consumer Discretionary,0
DELL,US,Information Technology,0
DG,US,Consumer Staples,0
DGX,US,Health Care,0
DHI,US,Consumer Discretionary,0
DHR,US,Health Care,0
DIS,US,Communication Services,0
DLR,US,Real Estate,0
DLTR,US,Consumer Staples,0
DOC,US,Real Estate,0
DOV,US,Industrials,0
DOW,US,Materials,0
DPZ,US,Consumer Discretionary,0
DRI,US,Consumer Discretionary,0
DTE,US,Utilities,0
DUK,US,Utilities,0
DVA,US,Health Care,0
DVN,US,Energy,0
DXCM,US,Health Care,0
EA,US,Communication Services,0
EBAY,US,Consumer Discretionary,0
ECL,US,Materials,0
ED,US,Utilities,0
EFX,US,Industrials,0
EG,US,Financials,0
EIX,US,Utilities,0
EL,US,Consumer Staples,0
ELV,US,Health Care,0
EMN,US,Materials,0
EMR,US,Industrials,0
ENPH,US,Information Technology,0
EOG,US,Energy,0
EPAM,US,Information Technology,0
EQIX,US,Real Estate,0
EQR,US,Real Estate,0
EQT,US,Energy,0
ERIE,US,Financials,0
ES,US,Utilities,0
ESS,US,Real Estate,0
ETN,US,Industrials,0
ETR,US,Utilities,0
EVRG,US,Utilities,0
EW,US,Health Care,0
EXC,US,Utilities,0
EXE,US,Energy,0
EXPD,US,Industrials,0
EXPE,US,Consumer Discretionary,0
EXR,US,Real Estate,0
F,US,Consumer Discretionary,0
FANG,US,Energy,0
FAST,US,Industrials,0
FCX,US,Materials,0
FDS,US,Financials,0
FDX,US,Industrials,0
FE,US,Utilities,0
FFIV,US,Information Technology,0
FI,US,Financials,0
FICO,US,Information Technology,0
FIS,US,Financials,0
FITB,US,Financials,0
FOX,US,Communication Services,0
FOXA,US,Communication Services,0
FRT,US,Real Estate,0
FSLR,US,Information Technology,0
FTNT,US,Information Technology,0
FTV,US,Industrials,0
GD,US,Industrials,0
GDDY,US,Information Technology,0
GE,US,Industrials,0
GEHC,US,Health Care,0
GEN,US,Information Technology,0
GEV,US,Industrials,0
GILD,US,Health Care,0
GIS,US,Consumer Staples,0
GL,US,Financials,0
GLW,US,Information Technology,0
GM,US,Consumer Discretionary,0
GNRC,US,Industrials,0
GOOG,US,Communication Services,0
GOOGL,US,Communication Services,0
GPC,US,Consumer Discretionary,0
GPN,US,Financials,0
GRMN,US,Consumer Discretionary,0
GS,US,Financials,0
GWW,US,Industrials,0
HAL,US,Energy,0
HAS,US,Consumer Discretionary,0
HBAN,US,Financials,0
HCA,US,Health Care,0
HD,US,Consumer Discretionary,0
HIG,US,Financials,0
HII,US,Industrials,0
HLT,US,Consumer Discretionary,0
HOLX,US,Health Care,0
HON,US,Industrials,0
HPE,US,Information Technology,0
HPQ,US,Information Technology,0
HRL,US,Consumer Staples,0
HSIC,US,Health Care,0
HST,US,Real Estate,0
HSY,US,Consumer Staples,0
HUBB,US,Industrials,0
HUM,US,Health Care,0
HWM,US,Industrials,0
IBM,US,Information Technology,0
ICE,US,Financials,0
IDXX,US,Health Care,0
IEX,US,Industrials,0
IFF,US,Materials,0
INCY,US,Health Care,0
INTC,US,Information Technology,0
INTU,US,Information Technology,0
INVH,US,Real Estate,0
IP,US,Materials,0
IPG,US,Communication Services,0
IQV,US,Health Care,0
IR,US,Industrials,0
IRM,US,Real Estate,0
ISRG,US,Health Care,0
IT,US,Information Technology,0
ITW,US,Industrials,0
IVZ,US,Financials,0
J,US,Industrials,0
JBHT,US,Industrials,0
JBL,US,Information Technology,0
JCI,US,Industrials,0
JKHY,US,Financials,0
JNJ,US,Health Care,0
JPM,US,Financials,0
K,US,Consumer Staples,0
KDP,US,Consumer Staples,0
KEY,US,Financials,0
KEYS,US,Information Technology,0
KHC,US,Consumer Staples,0
KIM,US,Real Estate,0
KKR,US,Financials,0
KLAC,US,Information Technology,0
KMB,US,Consumer Staples,0
KMI,US,Energy,0
KMX,US,Consumer Discretionary,0
KO,US,Consumer Staples,0
KR,US,Consumer Staples,0
KVUE,US,Consumer Staples,0
L,US,Financials,0
LDOS,US,Industrials,0
LEN,US,Consumer Discretionary,0
LH,US,Health Care,0
LHX,US,Industrials,0
LII,US,Industrials,0
LIN,US,Materials,0
LKQ,US,Consumer Discretionary,0
LLY,US,Health Care,0
LMT,US,Industrials,0
LNT,US,Utilities,0
LOW,US,Consumer Discretionary,0
LRCX,US,Information Technology,0
LULU,US,Consumer Discretionary,0
LUV,US,Industrials,0
LVS,US,Consumer Discretionary,0
LW,US,Consumer Staples,0
LYB,US,Materials,0
LYV,US,Communication Services,0
MA,US,Financials,0
MAA,US,Real Estate,0
MAR,US,Consumer Discretionary,0
MAS,US,Industrials,0
MCD,US,Consumer Discretionary,0
MCHP,US,Information Technology,0
MCK,US,Health Care,0
MCO,US,Financials,0
MDLZ,US,Consumer Staples,0
MDT,US,Health Care,0
MET,US,Financials,0
META,US,Communication Services,0
MGM,US,Consumer Discretionary,0
MHK,US,Consumer Discretionary,0
MKC,US,Consumer Staples,0
MKTX,US,Financials,0
MLM,US,Materials,0
MMC,US,Financials,0
MMM,US,Industrials,0
MNST,US,Consumer Staples,0
MO,US,Consumer Staples,0
MOH,US,Health Care,0
MOS,US,Materials,0
MPC,US,Energy,0
MPWR,US,Information Technology,0
MRK,US,Health Care,0
MRNA,US,Health Care,0
MS,US,Financials,0
MSCI,US,Financials,0
MSFT,US,Information Technology,0
MSI,US,Information Technology,0
MTB,US,Financials,0
