ticker,exchange,sector,market_cap
NVDA,NASDAQ,Technology,4420585530000
GOOGL,NASDAQ,Technology,3835958700000
GOOG,NASDAQ,Technology,3804143590000
AAPL,NASDAQ,Technology,3789349045400
MSFT,NASDAQ,Technology,2815353007875
AMZN,NASDAQ,Consumer Discretionary,2376228409179
TSM,NYSE,Technology,1891663226192
AVGO,NASDAQ,Technology,1640562525756
META,NASDAQ,Technology,1509613405361
TSLA,NASDAQ,Industrials,1305669590886
WMT,NASDAQ,Consumer Discretionary,990730458799
LLY,NYSE,Health Care,895642475472
JPM,NYSE,Finance,825399446432
XOM,NYSE,Energy,640660714716
AZN,NYSE,Health Care,638495869302
V,NYSE,Real Estate,593273121510
JNJ,NYSE,Health Care,570407782524
ASML,NASDAQ,Technology,542964843922
MU,NASDAQ,Technology,460713191855
MA,NYSE,Real Estate,453838826006
COST,NASDAQ,Consumer Discretionary,450569083099
NFLX,NASDAQ,Consumer Discretionary,418732931226
ORCL,NYSE,Technology,418105187250
CVX,NYSE,Energy,379941360481
AMD,NASDAQ,Technology,374961615782
BAC,NYSE,Finance,370183464122
ABBV,NYSE,Health Care,369025738525
CAT,NYSE,Industrials,355612128538
PLTR,NASDAQ,Technology,353293556739
HD,NYSE,Consumer Discretionary,336104069202
PG,NYSE,Consumer Discretionary,335187365197
KO,NYSE,Consumer Staples,328751196745
CSCO,NASDAQ,Telecommunications,324937951100
GE,NYSE,Technology,321133602323
HSBC,NYSE,Finance,311455799621
LRCX,NASDAQ,Technology,308334047610
AMAT,NASDAQ,Technology,306420705747
MRK,NYSE,Health Care,297280414441
NVS,NYSE,Health Care,293053934861
BABA,NYSE,Real Estate,291431068357
INTC,NASDAQ,Technology,287088076569
TM,NYSE,Industrials,280982604737
MS,NYSE,Finance,279462677770
UNH,NYSE,Health Care,279187472939
RTX,NYSE,Industrials,272438641870
GS,NYSE,Finance,266845620054
SHEL,NYSE,Energy,263650161585
WFC,NYSE,Finance,262133127721
GEV,NYSE,Unknown,254356789864
PM,NYSE,Health Care,245114766509
